asset_id,file,width,height,format,alpha,purpose,theme_variant,source_method,license_status,review_status
hero-fish-64-v1,art/generated/processed/hero-fish-64-v1.png,64,64,PNG,binary 0/255,Standby hero fish and visual identity seed,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
seaweed-slender-64-v1,art/generated/processed/seaweed-slender-64-v1.png,64,64,PNG,binary 0/255,Aquarium foreground decoration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
plant-broadleaf-64-v1,art/generated/processed/plant-broadleaf-64-v1.png,64,64,PNG,binary 0/255,Aquarium foreground decoration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
coral-bush-64-v1,art/generated/processed/coral-bush-64-v1.png,64,64,PNG,binary 0/255,Aquarium foreground decoration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
clam-64-v1,art/generated/processed/clam-64-v1.png,64,64,PNG,binary 0/255,Aquarium foreground decoration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
empty-gallery-160x112-v1,art/generated/processed/empty-gallery-160x112-v1.png,160,112,PNG,binary 0/255,Gallery empty-state illustration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
empty-memo-160x112-v1,art/generated/processed/empty-memo-160x112-v1.png,160,112,PNG,binary 0/255,Memo empty-state illustration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
gba-cartridge-96x128-v1,art/generated/processed/gba-cartridge-96x128-v1.png,96,128,PNG,binary 0/255,Generic GBA-library placeholder art,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
ps1-disc-case-96x128-v1,art/generated/processed/ps1-disc-case-96x128-v1.png,96,128,PNG,binary 0/255,Generic optical-disc library placeholder art,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
empty-music-160x112-v1,art/generated/processed/empty-music-160x112-v1.png,160,112,PNG,binary 0/255,Music empty-state illustration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
empty-focus-160x112-v1,art/generated/processed/empty-focus-160x112-v1.png,160,112,PNG,binary 0/255,Focus timer empty-state illustration,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
fishing-common-64x48-v1,art/generated/processed/fishing-common-64x48-v1.png,64,48,PNG,binary 0/255,Fishing common fish candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
fishing-uncommon-64x48-v1,art/generated/processed/fishing-uncommon-64x48-v1.png,64,48,PNG,binary 0/255,Fishing uncommon fish candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
fishing-rare-64x48-v1,art/generated/processed/fishing-rare-64x48-v1.png,64,48,PNG,binary 0/255,Fishing rare fish candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
fishing-legendary-64x48-v1,art/generated/processed/fishing-legendary-64x48-v1.png,64,48,PNG,binary 0/255,Fishing legendary fish candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
hero-swim-frame-1-v1,art/generated/processed/hero-swim-frame-1-v1.png,64,64,PNG,binary 0/255,Hero swim animation frame 1 (approved seed),shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
hero-swim-frame-2-v1,art/generated/processed/hero-swim-frame-2-v1.png,64,64,PNG,binary 0/255,Hero swim animation frame 2 candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
hero-swim-frame-3-v1,art/generated/processed/hero-swim-frame-3-v1.png,64,64,PNG,binary 0/255,Hero swim animation frame 3 candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
hero-swim-frame-4-v1,art/generated/processed/hero-swim-frame-4-v1.png,64,64,PNG,binary 0/255,Hero swim animation frame 4 candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
hero-swim-strip-256x64-v1,art/generated/processed/hero-swim-strip-256x64-v1.png,256,64,PNG,binary 0/255,Four-frame hero swim animation strip,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
aquarium-background-480-v1,art/generated/processed/aquarium-background-480-v1.png,480,480,PNG,binary 0/255,Low-detail aquarium environment candidate,shared/aquatic,OpenAI built-in image generation + deterministic normalization,project candidate; confirm release terms before distribution,candidate-needs-in-app-review
